DRAW,DATE,GAME,AB1,AB2,AB3,AB4,AB5,AB6,BB,WIN1,DIV1,WIN2,DIV2,WIN3,DIV3,WIN4,DIV4,WIN5,DIV5,WIN6,DIV6,WIN7,DIV7,WIN8,DIV8,WIN9,DIV9
1819,2018-06-02,LOTTO,12,14,16,47,29,8,19,1,3805527.40,2,59950.10,45,4633.80,159,1639.30,2769,158.20,4629,82.20,55249,50.00,47619,20.00
1818,2018-05-30,LOTTO,30,14,6,46,7,3,5,1,15413088.80,0,0,39,6116.70,141,1342.80,2383,133.50,4257,65.00,43767,50.00,40395,20.00
1817,2018-05-26,LOTTO,14,28,8,16,45,13,36,0,0,1,123544.40,36,5968.30,134,2004.30,2497,180.70,3925,99.90,53807,50.00,40228,20.00
1816,2018-05-23,LOTTO,23,5,49,31,11,24,25,0,0,0,0,38,5272.50,81,1963.10,2414,124.70,2541,91.30,38964,50.00,27202,20.00
1815,2018-05-19,LOTTO,46,48,9,40,38,35,30,0,0,1,112868.30,45,4362.10,93,2638.30,2095,196.80,2737,130.90,41995,50.00,31560,20.00
1814,2018-05-16,LOTTO,48,22,1,2,36,31,45,0,0,0,0,24,10154.10,67,2886.70,1646,197.30,2083,135.60,35588,50.00,24024,20.00
1813,2018-05-12,LOTTO,28,6,39,26,38,19,17,1,58672133.92,1,148570.60,52,4968.90,170,1899.90,3626,149.70,5183,91.00,69813,50.00,56052,20.00
1812,2018-05-09,LOTTO,10,5,36,48,11,12,14,0,0,0,0,47,7265.20,145,1869.00,3297,138.10,4352,90.90,64030,50.00,46178,20.00
1811,2018-05-05,LOTTO,19,11,50,35,49,45,6,0,0,0,0,59,8049.80,175,2153.90,3787,167.20,5277,104.30,73412,50.00,58446,20.00
1810,2018-05-02,LOTTO,49,5,36,22,15,47,52,0,0,0,0,29,10197.10,93,2523.60,2203,178.90,2872,119.20,45878,50.00,33543,20.00
1809,2018-04-28,LOTTO,5,14,13,25,12,28,4,0,0,1,117965.10,71,2889.50,195,1315.10,3074,140.20,4922,76.10,58602,50.00,50178,20.00
1808,2018-04-25,LOTTO,43,44,7,37,51,13,10,0,0,1,101070.80,30,5859.10,83,2647.20,2030,181.80,2574,124.70,39655,50.00,28996,20.00
1807,2018-04-21,LOTTO,49,15,26,35,21,13,23,0,0,1,109546.30,48,3969.10,128,1860.50,2580,155.10,3858,90.10,51327,50.00,39430,20.00
1806,2018-04-18,LOTTO,10,12,32,39,13,50,42,0,0,0,0,27,9214.60,62,3184.70,1552,213.80,2233,129.00,33066,50.00,25818,20.00
1805,2018-04-14,LOTTO,26,31,40,46,18,36,22,0,0,1,102786.20,36,4965.50,128,1745.70,2396,156.60,3614,90.30,45241,50.00,37215,50.00
1804,2018-04-11,LOTTO,35,10,24,33,2,46,5,0,0,0,0,29,7452.60,85,2018.00,1724,167.20,2652,94.50,33820,50.00,29104,20.00
1803,2018-04-07,LOTTO,35,13,28,11,10,3,16,0,0,2,45545.70,54,2933.70,134,1477.80,2929,113.60,4012,72.00,56735.50,39087,20.00
1802,2018-04-04,LOTTO,50,36,30,52,28,17,31,0,0,0,0,26,9133.50,78,2411.00,1655,190.90,2214,124.00,35539,50.00,24305,20.00
1801,2018-03-31,LOTTO,49,18,21,31,23,35,42,0,0,0,0,60,4470.50,101,2107.70,2552,141.80,3233,96.20,47519,50.00,32901,20.00
1800,2018-03-28,LOTTO,1,22,26,6,17,18,30,0,0,1,69358.30,43,2805.30,110,1370.80,2253,112.40,3013,73.00,41404,50.00,28852,20.00
1799,2018-03-24,LOTTO,3,31,24,1,12,49,52,1,36000000.00,1,127925.10,58,3835.80,157,1771.30,3613,129.30,4069,99.80,66579,50.00,42993,20.00
1798,2018-03-21,LOTTO,32,50,49,11,19,1,22,0,0,0,0,28,6559.00,85,1714.80,1530,160.10,2584,82.40,31603,50.00,27029,20.00
1797,2018-03-17,LOTTO,21,42,44,40,26,6,49,0,0,1,106999.00,36,5169.00,91,2556.10,2017,193.70,2880,117.90,43137,50.00,31535,20.00
1796,2018-03-14,LOTTO,5,8,47,14,23,41,34,0,0,2,40161.10,36,3880.30,101,1728.80,1876,156.40,2432,104.80,33152,50.00,25793,20.00
1795,2018-03-10,LOTTO,3,17,11,2,23,5,31,0,0,0,0,102,2196.80,147,1209.80,4590,65.10,3869,67.10,67745,50.00,36962,20.00
1794,2018-03-07,LOTTO,52,24,38,17,30,32,37,0,0,1,89701.90,28,5571.60,57,3421.00,1805,181.50,246,126.80,36027,50.00,26098,20.00
1793,2018-03-03,LOTTO,42,36,40,22,19,8,30,1,16196222.60,2,58751.70,63,3243.70,126,2027.40,3309,129.70,3723,100.20,58958,50.00,40435,20.00
