DRAW,DATE,GAME,AB1,AB2,AB3,AB4,AB5,AB6,BB,WIN1,DIV1,WIN2,DIV2,WIN3,DIV3,WIN4,DIV4,WIN5,DIV5,WIN6,DIV6,WIN7,DIV7,WIN8,DIV8,OB1,OB2,OB3,OB4,OB5,OB6
1537,2015-09-19,LOTTO,9,1,39,33,19,2,16,0,0.00,0,0.00,118,8225.00,273,1367.00,8940,211.00,6680,123.00,93522,29.00,0,0.00,1,2,9,19,33,39
1538,2015-09-23,LOTTO,8,46,23,28,14,35,17,0,0.00,1,230257.00,63,8223.00,217,1326.00,2970,325.00,5254,121.00,55942,37.00,0,0.00,8,14,23,28,35,46
1539,2015-09-26,LOTTO,32,9,39,37,46,28,42,0,0.00,3,105931.00,51,14020.00,246,1615.00,3968,335.00,5898,148.00,72642,39.00,0,0.00,9,28,32,37,39,46
1540,2015-09-30,LOTTO,49,40,46,4,3,44,1,0,0.00,3,90951.00,84,7309.00,194,1758.00,3820,299.00,5520,136.00,95751,37.00,0,0.00,3,4,40,44,46,49
1541,2015-10-03,LOTTO,29,16,41,48,2,44,23,0,0.00,4,85692.00,90,8569.00,232,1847.00,4113,349.00,5926,159.00,76570,40.00,0,0.00,2,16,29,41,44,48
1542,2015-10-07,LOTTO,24,43,1,31,46,8,25,0,0.00,0,0.00,52,16334.00,116,2816.00,2911,376.00,3787,190.00,57097,41.00,0,0.00,1,8,24,31,43,46
1543,2015-10-10,LOTTO,45,1,2,34,19,30,40,0,0.00,1,326638.00,50,14699.00,166,2460.00,4161,329.00,5816,154.00,78401,38.00,0,0.00,1,2,19,30,34,45
1544,2015-10-14,LOTTO,12,32,42,37,5,19,25,0,0.00,7,37977.00,86,6955.00,300,1108.00,4424,252.00,5696,128.00,69654,34.00,0,0.00,5,12,19,32,37,42
1545,2015-10-17,LOTTO,47,34,8,17,22,38,10,2,7920719.00,0,0.00,150,7927.00,292,1566.00,6406,239.00,7438,135.00,102531,32.00,0,0.00,8,17,22,34,38,47
1546,2015-10-21,LOTTO,38,30,13,14,33,20,3,0,0.00,1,221948.00,56,8917.00,183,1516.00,3013,309.00,5134,119.00,55464,36.00,0,0.00,13,14,20,30,33,38
